Email *,First Name *,Last Name *,Title *,Company *,Phone *,Add Multiple Email id's with || Separation.,Role Name *,Meeting Types(Default - All),Send Notification(Y/N - default N),Topic name - Add Multiple Topics with || Separation.
a1@jifflenow.net,Abhraham,m,QA,Iris1,0,"",Requestor,ALL,"",""
andrew@jifflenow.net,Andrew,Ben,qa-e,LG,1234,"",Requestor,ALL,"",""
andy1@jifflenow.net,Andy,James,QA,LG,0,"",Requestor,ALL,"",""
andy@jifflenow.net,Andy,Morrison,SEO,LG,987654321,"",Attendee,ALL,"",""
brainstormer.23456789abc@jifflenow.net,Brain,Stormer,MM,Jiffle,987654321,"",Junior MM,ALL,"",""
carlie.olson1143@jifflenow.net,Carlie,Olson,District Implementation Technician,"Stanton, Murray and Stehr",123,"",Requestor,ALL,"",""
dashdajsh@jifflenow.net,dasdsa,dsad,ddd,LG,123213,"",Requestor,ALL,"",""
deaone.jones@jifflenow.net,Deone,Jones,MM,Jiffle,987654321,"",Attendee,ALL,"",""
harold.exec@jifflenow.net,Harold,Finch,QA,Iris1,0,"",Attendee,ALL,"",""
vijay.qa21087@gmail.com,internal,qa2,title,coral,234,"",Attendee,ALL,"",""
Iris.campbell@jifflenow.net,Iris,Campbell,title,coral,3456,"",Attendee,ALL,"",""
john.exec@jifflenow.net,John,Greer,Mr,Samaritan,65056994569,"",Attendee,ALL,"",""
john.am@jifflenow.net,John,Reese,Mr,The Machine,124232344,"",Attendee,ALL,"",""
lionel.fusco@jifflenow.net,L,F,title,coral,1234,"",Attendee,ALL,"",""
lekkalak@jifflenow.net,Lekkala,M,Mr,LG,2314,"",Requestor,ALL,"",""
lionel.exec@jifflenow.net,Lionel,Fusco,title,coral,1234,"",Attendee,ALL,"",""
meghan.jolly@jifflenow.net,Meghan,Jolly,MM,Jiffle,987654321,"",Attendee,ALL,"",""
prashanth.qa2016@gmail.com,Prashanth,Relyon,JMM,Jiffle,987654321,"",Junior MM,ALL,"",""
requestor032@gmail.com,requestor,qa,title,coral,1234,"",Requestor,ALL,"",""
Richards@jifflenow.net,Richards,Showman,RCO,LG,0,"",Requestor,ALL,"",""
santony.anderson@jifflenow.net,Santony,Relyon,JMM,Jiffle,987654321,"",Junior MM,ALL,"",Action_Filters
shaw.mm@jifflenow.net,Shaw,MM,QA,Iris1,0,"",Meeting Manager,ALL,"",""
special.c'har1@jifflenow.net,special.c'har1,char1,testing,QA,123,"",Attendee,ALL,"",Action_Filters
special.c!har3@jifflenow.net,special.c!har3,char3,testing,QA,123,"",Attendee,ALL,"",Action_Filters
special.c@har4@jifflenow.net,special.c@har4,char4,testing,QA,123,"",Attendee,ALL,"",Action_Filters
special.c#har5@jifflenow.net,special.c#har5,char5,testing,QA,123,"",Attendee,ALL,"",Action_Filters
special.c$har6@jifflenow.net,special.c$har6,char6,testing,QA,123,"",Attendee,ALL,"",Action_Filters
special.c%har7@jifflenow.net,special.c%har7,char7,testing,QA,123,"",Attendee,ALL,"",Action_Filters
special.c^har8@jifflenow.net,special.c^har8,char8,testing,QA,123,"",Attendee,ALL,"",Action_Filters
special.c&har9@jifflenow.net,special.c&har9,char9,testing,QA,123,"",Attendee,ALL,"",Action_Filters
"""specical.c!@#har178901111""@jifflenow.net",specical.c\har1,char16,testing,QA,123,"",Attendee,ALL,"",Action_Filters
specical.c*har10@jifflenow.net,specical.c*har10,char10,testing,QA,123,"",Attendee,ALL,"",Action_Filters
specical.c(har11@jifflenow.net,specical.c(har11,char11,testing,QA,123,"",Attendee,ALL,"",Action_Filters
specical.c)har12@jifflenow.net,specical.c)har12,char12,testing,QA,123,"",Attendee,ALL,"",Action_Filters
"""specical.c''$%^har13""@jifflenow.net",specical.c~har13,char13,testing,QA,123,"",Attendee,ALL,"",Action_Filters
specical.c-har14@jifflenow.net,specical.c-har14,char14,testing,QA,123,"",Attendee,ALL,"",Action_Filters
specical.c_har15@jifflenow.net,specical.c_har15,char15,testing,QA,123,"",Attendee,ALL,"",Action_Filters
specical.c/har17@jifflenow.net,specical.c/har17,char17,testing,QA,123,"",Attendee,ALL,"",Action_Filters
specical.c?har18@jifflenow.net,specical.c?har18,char18,testing,QA,123,"",Attendee,ALL,"",Action_Filters
specical.c<har19@jifflenow.net,specical.c<har19,char19,testing,QA,123,"",Attendee,ALL,"",Action_Filters
"specical.c,har20@jifflenow.net","specical.c,har20",char20,testing,QA,123,"",Attendee,ALL,"",Action_Filters
specical.c{har21@jifflenow.net,specical.c{har21,char21,testing,QA,123,"",Attendee,ALL,"",Action_Filters
